index,meta_idx,batch_idx,action,type,query,url,response_1,response_2,response_3,response_4,response_5,mode,agreement
22,19657,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5920.mp4,yes,no,yes,yes,no,yes,0.6
23,19658,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5921.mp4,no,no,no,yes,no,no,0.8
24,19659,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5922.mp4,no,yes,no,yes,no,no,0.6
25,19660,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5923.mp4,no,yes,no,no,no,no,0.8
26,19661,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5924.mp4,no,yes,yes,no,no,no,0.6
27,19662,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5925.mp4,yes,no,yes,yes,no,yes,0.6
28,19663,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5926.mp4,no,no,no,no,yes,no,0.8
29,19664,2195,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5927.mp4,no,yes,no,yes,no,no,0.6
30,19695,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5958.mp4,yes,yes,yes,yes,no,yes,0.8
31,19696,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5959.mp4,no,no,yes,yes,yes,yes,0.6
32,19697,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5960.mp4,unsure,no,yes,yes,no,yes,0.4
33,19698,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5961.mp4,yes,no,yes,yes,no,yes,0.6
34,19699,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5962.mp4,no,yes,no,yes,no,no,0.6
35,19700,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5963.mp4,unsure,yes,yes,yes,no,yes,0.6
36,19701,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5964.mp4,yes,yes,no,yes,no,yes,0.6
37,19702,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5965.mp4,no,no,yes,yes,no,no,0.6
38,19703,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5966.mp4,unsure,no,yes,yes,no,yes,0.4
39,19704,2199,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5967.mp4,yes,yes,yes,yes,no,yes,0.8
40,19665,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5928.mp4,yes,yes,no,no,yes,yes,0.6
41,19666,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5929.mp4,no,no,yes,no,yes,no,0.6
42,19667,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5930.mp4,no,no,no,yes,no,no,0.8
43,19668,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5931.mp4,no,no,no,yes,yes,no,0.6
44,19669,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5932.mp4,yes,yes,yes,no,yes,yes,0.8
45,19670,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5933.mp4,no,yes,yes,no,yes,yes,0.6
46,19671,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5934.mp4,no,yes,yes,no,yes,yes,0.6
47,19672,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5935.mp4,no,no,no,yes,no,no,0.8
48,19673,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5936.mp4,yes,no,no,yes,yes,yes,0.6
49,19674,2196,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5937.mp4,no,yes,no,no,no,no,0.8
50,19625,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5888.mp4,unsure,yes,yes,yes,yes,yes,0.8
51,19626,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5889.mp4,no,no,yes,yes,no,no,0.6
52,19627,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5890.mp4,yes,no,yes,yes,yes,yes,0.8
53,19628,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5891.mp4,unsure,no,yes,yes,no,yes,0.4
54,19629,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5892.mp4,no,yes,yes,no,no,no,0.6
55,19630,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5893.mp4,yes,yes,yes,no,yes,yes,0.8
56,19631,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5894.mp4,unsure,yes,no,no,no,no,0.6
57,19632,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5895.mp4,no,no,yes,yes,no,no,0.6
58,19633,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5896.mp4,yes,no,yes,yes,no,yes,0.6
59,19634,2192,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5897.mp4,unsure,yes,yes,yes,yes,yes,0.8
60,19635,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5898.mp4,yes,yes,yes,no,yes,yes,0.8
61,19636,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5899.mp4,unsure,yes,yes,no,yes,yes,0.6
62,19637,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5900.mp4,no,yes,no,yes,no,no,0.6
63,19638,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5901.mp4,yes,yes,yes,no,yes,yes,0.8
64,19639,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5902.mp4,unsure,no,yes,yes,yes,yes,0.6
65,19640,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5903.mp4,no,no,yes,yes,yes,yes,0.6
66,19641,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5904.mp4,yes,yes,yes,yes,no,yes,0.8
67,19642,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5905.mp4,no,yes,yes,yes,no,yes,0.6
68,19643,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5906.mp4,unsure,yes,yes,yes,yes,yes,0.8
69,19644,2193,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5907.mp4,yes,yes,yes,yes,no,yes,0.8
70,112841,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5960.mp4,yes,no,yes,no,no,no,0.6
71,112842,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5961.mp4,yes,yes,no,yes,no,yes,0.6
72,112843,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5962.mp4,yes,no,no,no,no,no,0.8
73,112844,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5963.mp4,yes,yes,no,yes,no,yes,0.6
74,112845,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5964.mp4,yes,no,yes,no,no,no,0.6
75,112846,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5965.mp4,no,no,yes,no,no,no,0.8
76,112847,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5967.mp4,no,no,yes,no,no,no,0.8
77,112848,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5968.mp4,no,no,no,no,no,no,1.0
78,112849,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5969.mp4,yes,yes,no,yes,yes,yes,0.8
79,112850,2398,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5970.mp4,no,yes,yes,yes,yes,yes,0.8
80,112851,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5971.mp4,yes,no,no,no,no,no,0.8
81,112852,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5972.mp4,no,no,no,no,no,no,1.0
82,112853,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5973.mp4,no,yes,yes,yes,yes,yes,0.8
83,112854,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5974.mp4,no,no,no,no,no,no,1.0
84,112855,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5975.mp4,yes,yes,yes,yes,yes,yes,1.0
85,112856,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5976.mp4,yes,no,no,no,no,no,0.8
86,112857,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5979.mp4,yes,no,no,no,no,no,0.8
87,112858,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5981.mp4,no,no,no,yes,no,no,0.8
88,112859,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5982.mp4,no,no,no,no,no,no,1.0
89,112860,2399,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5983.mp4,yes,no,no,no,no,no,0.8
90,19645,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5908.mp4,yes,no,yes,yes,yes,yes,0.8
91,19646,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5909.mp4,no,unsure,yes,yes,yes,yes,0.6
92,19647,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5910.mp4,no,yes,no,yes,no,no,0.6
93,19648,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5911.mp4,no,unsure,no,yes,no,no,0.6
94,19649,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5912.mp4,yes,no,no,yes,no,no,0.6
95,19650,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5913.mp4,yes,yes,no,yes,no,yes,0.6
96,19651,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5914.mp4,yes,no,no,yes,no,no,0.6
97,19652,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5915.mp4,no,unsure,no,yes,no,no,0.6
98,19653,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5916.mp4,no,yes,no,yes,no,no,0.6
99,19654,2194,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5917.mp4,yes,no,yes,yes,no,yes,0.6
100,19615,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5878.mp4,yes,yes,yes,yes,yes,yes,1.0
101,19616,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5879.mp4,yes,no,no,yes,no,no,0.6
102,19617,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5880.mp4,yes,no,no,yes,yes,yes,0.6
103,19618,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5881.mp4,no,no,no,no,no,no,1.0
104,19619,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5882.mp4,no,no,yes,no,no,no,0.8
105,19620,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5883.mp4,no,no,yes,no,no,no,0.8
106,19621,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5884.mp4,yes,no,yes,yes,yes,yes,0.8
107,19622,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5885.mp4,no,no,no,no,no,no,1.0
108,19623,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5886.mp4,no,no,no,no,no,no,1.0
109,19624,2191,turn,test,Is the object turning?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5887.mp4,no,no,yes,no,no,no,0.8
110,112831,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5949.mp4,no,yes,no,no,no,no,0.8
111,112832,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5950.mp4,yes,no,no,no,no,no,0.8
112,112833,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5952.mp4,yes,no,no,no,no,no,0.8
113,112834,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5953.mp4,yes,no,no,no,no,no,0.8
114,112835,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5954.mp4,no,yes,no,no,no,no,0.8
115,112836,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5955.mp4,no,yes,no,no,no,no,0.8
116,112837,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5956.mp4,no,yes,no,no,no,no,0.8
117,112838,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5957.mp4,no,no,no,no,no,no,1.0
118,112839,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5958.mp4,no,no,no,no,no,no,1.0
119,112840,2397,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5959.mp4,yes,yes,yes,yes,yes,yes,1.0
120,112811,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5928.mp4,yes,no,yes,no,yes,yes,0.6
121,112812,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5929.mp4,no,no,yes,no,yes,no,0.6
122,112813,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5930.mp4,yes,no,yes,yes,yes,yes,0.8
123,112814,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5931.mp4,yes,yes,yes,yes,yes,yes,1.0
124,112815,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5932.mp4,yes,no,no,no,yes,no,0.6
125,112816,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5933.mp4,no,no,no,no,yes,no,0.8
126,112817,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5934.mp4,no,no,yes,no,yes,no,0.6
127,112818,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5935.mp4,no,no,yes,no,yes,no,0.6
128,112819,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5937.mp4,yes,no,yes,no,yes,yes,0.6
129,112820,2395,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5938.mp4,no,no,yes,no,yes,no,0.6
130,112791,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5905.mp4,yes,no,no,no,no,no,0.8
131,112792,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5906.mp4,no,no,no,no,no,no,1.0
132,112793,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5907.mp4,no,no,no,no,no,no,1.0
133,112794,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5908.mp4,no,no,no,no,no,no,1.0
134,112795,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5909.mp4,yes,no,no,no,no,no,0.8
135,112796,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5910.mp4,yes,no,unsure,yes,no,yes,0.4
136,112797,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5911.mp4,yes,yes,yes,yes,yes,yes,1.0
137,112798,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5912.mp4,no,yes,yes,yes,no,yes,0.6
138,112799,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5913.mp4,no,no,no,no,no,no,1.0
139,112800,2393,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5914.mp4,yes,yes,yes,yes,no,yes,0.8
140,112781,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5892.mp4,yes,yes,no,no,no,no,0.6
141,112782,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5893.mp4,no,no,no,no,no,no,1.0
142,112783,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5894.mp4,unsure,no,no,yes,no,no,0.6
143,112784,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5895.mp4,yes,no,no,no,no,no,0.8
144,112785,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5896.mp4,no,yes,yes,no,no,no,0.6
145,112786,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5897.mp4,unsure,yes,yes,no,no,yes,0.4
146,112787,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5900.mp4,yes,yes,yes,no,no,yes,0.6
147,112788,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5902.mp4,unsure,no,yes,no,no,no,0.6
148,112789,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5903.mp4,no,no,unsure,no,no,no,0.8
149,112790,2392,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5904.mp4,yes,yes,unsure,no,no,yes,0.4
150,112821,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5939.mp4,no,yes,no,yes,no,no,0.6
151,112822,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5940.mp4,no,no,no,yes,no,no,0.8
152,112823,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5941.mp4,no,no,no,yes,no,no,0.8
153,112824,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5942.mp4,yes,no,no,no,yes,no,0.6
154,112825,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5943.mp4,no,yes,yes,no,yes,yes,0.6
155,112826,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5944.mp4,no,yes,yes,no,yes,yes,0.6
156,112827,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5945.mp4,no,yes,yes,no,no,no,0.6
157,112828,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5946.mp4,no,no,yes,no,no,no,0.8
158,112829,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5947.mp4,yes,no,yes,no,yes,yes,0.6
159,112830,2396,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5948.mp4,no,yes,no,no,no,no,0.8
160,112801,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5915.mp4,yes,no,no,no,yes,no,0.6
161,112802,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5916.mp4,yes,yes,no,no,yes,yes,0.6
162,112803,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5917.mp4,yes,no,no,no,yes,no,0.6
163,112804,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5919.mp4,yes,unsure,no,no,yes,yes,0.4
164,112805,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5921.mp4,no,yes,no,no,yes,no,0.6
165,112806,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5922.mp4,no,unsure,no,no,yes,no,0.6
166,112807,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5923.mp4,yes,no,no,no,yes,no,0.6
167,112808,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5924.mp4,yes,yes,no,no,yes,yes,0.6
168,112809,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5926.mp4,yes,no,yes,no,yes,yes,0.6
169,112810,2394,tumble,test,Does the object tumble?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5927.mp4,yes,unsure,no,no,yes,yes,0.4
170,95626,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6252.mp4,yes,yes,no,yes,no,yes,0.6
171,95627,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6254.mp4,unsure,no,no,yes,yes,yes,0.4
172,95628,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6259.mp4,no,no,no,yes,yes,no,0.6
173,95629,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6261.mp4,yes,no,no,yes,yes,yes,0.6
174,95630,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6273.mp4,no,yes,no,yes,yes,yes,0.6
175,95631,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6278.mp4,unsure,yes,no,yes,no,yes,0.4
176,95632,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6281.mp4,yes,yes,yes,yes,yes,yes,1.0
177,95633,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6282.mp4,no,no,no,yes,yes,no,0.6
178,95634,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6285.mp4,unsure,no,no,no,yes,no,0.6
179,95635,2358,toss,test,Does the object get tossed?,https://plunarlabcit.services.brown.edu/crowdsourcing/videos/6290.mp4,yes,yes,no,yes,yes,yes,0.8
