index,indices,type,action,query,urls,responses
10,"[4167, 4168, 4169, 4170, 4171, 4172, 4173, 4174, 4175, 4176]",train,slap,Does the object get slapped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1021.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1022.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1023.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1024.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1025.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1034.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1035.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1037.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1038.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1039.mp4""]",0
11,"[4177, 4178, 4179, 4180, 4181, 4182, 4183, 4184, 4185, 4186]",train,slap,Does the object get slapped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1040.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1041.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1042.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1043.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1044.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1045.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1048.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1051.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1052.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1053.mp4""]",0
12,"[4187, 4188, 4189, 4190, 4191, 4192, 4193, 4194, 4195, 3653]",train,slap,Does the object get slapped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1055.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1056.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1057.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1058.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1060.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1061.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1063.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1064.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1069.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/107.mp4""]",0
13,"[4196, 4197, 4198, 3654, 4199, 4200, 4201, 4202, 4203, 4204]",train,slap,Does the object get slapped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1070.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1071.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1073.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/108.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1080.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1083.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1085.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1086.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1087.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1088.mp4""]",0
14,"[4205, 3655, 4206, 4207, 4208, 4209, 4210, 4211, 3656, 4212]",train,slap,Does the object get slapped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1089.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/109.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1092.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1094.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1095.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1097.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1099.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1103.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/111.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1113.mp4""]",0
15,"[4213, 4214, 4215, 3657, 4216, 4217, 4218, 4219, 4220, 4221]",train,slap,Does the object get slapped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1116.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1118.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1119.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/112.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1120.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1121.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1122.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1124.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1125.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1126.mp4""]",0
16,"[7202, 7203, 7212, 7302, 8202, 8203, 8204, 8205, 8206, 8207]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/0.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/10.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/100.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1000.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1001.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1002.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1003.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1004.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1005.mp4""]",0
17,"[8208, 8209, 8210, 8211, 7303, 8212, 8213, 8214, 8215, 8216]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1006.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1007.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1008.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1009.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/101.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1010.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1011.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1012.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1013.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1014.mp4""]",0
18,"[8217, 8218, 8219, 8220, 8221, 7304, 8222, 8223, 8224, 8225]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1015.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1016.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1017.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1018.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1019.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/102.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1020.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1021.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1022.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1023.mp4""]",0
19,"[8226, 8227, 8228, 8229, 8230, 8231, 7305, 8232, 8233, 8234]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1024.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1025.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1026.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1027.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1028.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1029.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/103.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1030.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1031.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1032.mp4""]",0
20,"[8235, 8236, 8237, 8238, 8239, 8240, 8241, 7306, 8242, 8243]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1033.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1034.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1035.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1036.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1037.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1038.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1039.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/104.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1040.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1041.mp4""]",0
21,"[8244, 8245, 8246, 8247, 8248, 8249, 8250, 8251, 7307, 8252]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1042.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1043.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1044.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1045.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1046.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1047.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1048.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1049.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/105.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1050.mp4""]",0
22,"[8253, 8254, 8255, 8256, 8257, 8258, 8259, 8260, 8261, 7308]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1051.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1052.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1053.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1054.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1055.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1056.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1057.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1058.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1059.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/106.mp4""]",0
23,"[8262, 8263, 8264, 8265, 8266, 8267, 8268, 8269, 8270, 8271]",train,carry,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1060.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1061.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1062.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1063.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1064.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1065.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1066.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1067.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1068.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1069.mp4""]",0
24,"[13737, 13738, 13747, 13837, 14737, 14738, 14739, 14740, 14741, 14742]",train,turn,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/0.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/10.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/100.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1000.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1001.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1002.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1003.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1004.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1005.mp4""]",0
25,"[14743, 14744, 14745, 14746, 13838, 14747, 14748, 14749, 14750, 14751]",train,turn,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1006.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1007.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1008.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1009.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/101.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1010.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1011.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1012.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1013.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1014.mp4""]",0
26,"[14752, 14753, 14754, 14755, 14756, 13839, 14757, 14758, 14759, 14760]",train,turn,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1015.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1016.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1017.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1018.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1019.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/102.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1020.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1021.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1022.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1023.mp4""]",0
27,"[14761, 14762, 14763, 14764, 14765, 14766, 13840, 14767, 14768, 14769]",train,turn,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1024.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1025.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1026.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1027.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1028.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1029.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/103.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1030.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1031.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1032.mp4""]",0
28,"[14770, 14771, 14772, 14773, 14774, 14775, 14776, 13841, 14777, 14778]",train,turn,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1033.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1034.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1035.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1036.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1037.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1038.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1039.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/104.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1040.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1041.mp4""]",0
29,"[14779, 14780, 14781, 14782, 14783, 14784, 14785, 14786, 13842, 14787]",train,turn,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1042.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1043.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1044.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1045.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1046.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1047.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1048.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1049.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/105.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1050.mp4""]",0
30,"[14788, 14789, 14790, 14791, 14792, 14793, 14794, 14795, 14796, 13843]",train,turn,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1051.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1052.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1053.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1054.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1055.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1056.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1057.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1058.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1059.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/106.mp4""]",0
